Top total rewards,
NodeID-4C14DCL7eKVSnnvzN5X3EupQhMru7BCoJ,1774.951199344
NodeID-29sgUazwvdr4UWUw7twNtxdPsgRa4Qtyx,1711.947953389
NodeID-NYa1ebjSRTYXaxKCkTii1yJXGdkasbTWc,1622.1509289410003
NodeID-8TviTXQLiqxcxkCikPTut9DwifYjFaMcT,1552.713120789
NodeID-9eoPiKPHzUd86eZBjME28vdDsv1ytwavK,1546.4021189659998
NodeID-NYNMabJTpEEMMtSjcFtcEcnRyed79zMT8,1530.355955848
NodeID-DgqnUUJdqcyiCyS91jxUyf9pgM8dFchRD,1493.396821689
NodeID-FwHESR6GmuMngU1rUGwTeZzu3erd7x1ag,1441.6030546910001
NodeID-8Eac9rQ2DsG3Pwj9z5KyvauVs7Hdt3bic,1436.92328528
NodeID-3kmGhx7gJ4WzyHjUKRAfCYdMWUdbjmUZp,1432.153253881
NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,1393.0254000159996
NodeID-PzT3rTJtAas4wJsvRZXx3NSJZ1KdBFukK,1307.424248331
NodeID-Nom39tjDi1Vf51VxuaZvJiDeQHwbyg6MU,1303.5441791
NodeID-NYoijVY9eku4Zocw9YZsLYFXJ2iNRjoVk,1255.226798248
NodeID-HHRwCSou165JyXGjw5Ff97XPKaFYevx7S,1248.504076431
NodeID-8NK1pWM2xyuucdECF2bC6cSEeZCZWYJVF,1218.139635573
NodeID-FCRNCtp2xuxPbQEML6vvxXev86Wq59a7B,1199.794368362
NodeID-4kuLtWqMdcvCko2EZh9BtH4x3ApdHu9b9,1196.620627246
NodeID-6YR8Ddm4mLn9rij4amMD6rQUUTsegCsXk,1189.99464284
NodeID-EmPwabyobnM3jYDvQuxZdLBTut5V5pq2n,1160.9394352599995
NodeID-NZEnXQpa55wAhwpcUZFgSAREXW1FLdkzQ,1132.029376595
NodeID-DueWyGi3B9jtKfa9mPoecd4YSDJ1ftF69,1081.504266395
NodeID-EoJirncHtvkCuiLac47FracheuCHmMxnL,998.195355884
NodeID-D12qpTYhB3feogxvMBzS1QPvwyKyhRK8G,994.8722532429998
NodeID-ENc7M77QRhgtpDojDQY5nqjndjiYCWR4i,983.634343213
NodeID-GLnWqFLPWwtT98x7fg6FCTDMzJ6tDcptC,948.761234259
