Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Type of Reward,nAVAX,Node,Time
2uurAacsy3Z4MqTo1Qoq9QmWme9dhk6VQ5Li21iSjchHNYRXPR,P-avax1w2x7k6klyfwfpkj6f4k5pswj3xchtugs35p2c6,delegatee,375478284,NodeID-JvmPE3bhpFpmjCM15qmyWfyJDZU8kxZcy,2020-10-06T12:53:07-04:00
2nSehJBWK6AgCQZNmPzqkqCy6PLtj7DVr6qVp6u9m1ungnMoaw,P-avax1a3thm4r22kcgc0pcfp7v434r9q2lpguf9f3h70,delegator,6777613760,NodeID-2JZva9683sZuXueZvphJfBnZLd9JTmy13,2020-10-06T12:58:11-04:00
2nSehJBWK6AgCQZNmPzqkqCy6PLtj7DVr6qVp6u9m1ungnMoaw,P-avax1a3thm4r22kcgc0pcfp7v434r9q2lpguf9f3h70,delegatee,753068196,NodeID-2JZva9683sZuXueZvphJfBnZLd9JTmy13,2020-10-06T12:58:11-04:00
2DgnezmMvjVdLaWsD8Tb3yxPTxVZhpg16Csx1E6rb6rxMk5rwV,P-avax1jgvf5zsegj0whuztuvftecgkrasf0lrzkrtskn,staking,7524554537,NodeID-EbBaD3wX7P4fqQfvoSm5F5ixBgns3pmbG,2020-10-06T13:10:35-04:00
2L5WUEw5ozzRwtBtvoSVeAUFvLCBtmcwbPwdBXa9m2TvryaRd2,P-avax19rzhjrtk5wpd8mfh8zj3zw6lmqy77z93njl35z,delegator,3706789604,NodeID-K5yqm6YLV1Cefr4zb2jXhuNWENNU9mvN3,2020-10-06T13:41:33-04:00
2L5WUEw5ozzRwtBtvoSVeAUFvLCBtmcwbPwdBXa9m2TvryaRd2,P-avax19rzhjrtk5wpd8mfh8zj3zw6lmqy77z93njl35z,delegatee,75648768,NodeID-K5yqm6YLV1Cefr4zb2jXhuNWENNU9mvN3,2020-10-06T13:41:33-04:00
2pqfxHvV8urBwYYzcw9b8MgHD4Bp1Ju4NPCTKfLfDsfy9agZAA,P-avax17gmm8sxe87uzf0ukvsp44sa8mjh5gmrcekrnzy,staking,7522630357,NodeID-CRjexu37UAKznqtKS8tw3xT73Kr1u1TnT,2020-10-06T14:22:44-04:00
2b6aWvxxDq81mcraXb9SMzH6P6GUMPHNmhjypBn26QYCxcXzos,P-avax19a77ew908605wa7rp9xqa922k7amnwacqlv3fk,delegator,309599310573,NodeID-5hZjseRYvCQ7425M1X9WJQy5wzToE1mjV,2020-10-06T14:28:43-04:00
2b6aWvxxDq81mcraXb9SMzH6P6GUMPHNmhjypBn26QYCxcXzos,P-avax19a77ew908605wa7rp9xqa922k7amnwacqlv3fk,delegatee,6318353277,NodeID-5hZjseRYvCQ7425M1X9WJQy5wzToE1mjV,2020-10-06T14:28:43-04:00
2dvdmeAuQbzHgDXzn5DocgEjnbHjhTanrsN4atDZAxa18P4a2p,P-avax1flvy8l4dpffll2f7384576yvpklkvqd9y4jazl,delegator,2167187683,NodeID-36giFye5epwBTpGqPk7b4CCYe3hfyoFr1,2020-10-06T14:31:50-04:00
2dvdmeAuQbzHgDXzn5DocgEjnbHjhTanrsN4atDZAxa18P4a2p,P-avax1flvy8l4dpffll2f7384576yvpklkvqd9y4jazl,delegatee,44228321,NodeID-36giFye5epwBTpGqPk7b4CCYe3hfyoFr1,2020-10-06T14:31:50-04:00
YnZ2MDP3PkBtLdv526GaEYodpdYUhJ1xCVR94KackjfZFMi5m,P-avax1l0eg240msam6jacfydvplzatvmgkusemqhnmsf,staking,7911424759,NodeID-BoHAh4SwdG2vdVRkhFNShWNcndsSTHwd9,2020-10-06T15:00:02-04:00
