Top total rewards,
NodeID-4THSbiM2YZQUyYSseUN9w9suaG3xmPs6R,31903.324319972
NodeID-BZagW7bQN98PeqvTDsEyx4NAC6iwxAaDD,31538.602523498
NodeID-5Zu8Jxbg6HDzqUFPLTakFydb1ToAwqde8,31525.83451142
NodeID-D87m2bQzEg9rquqT72zHp9BffaismCzKJ,31408.438050317996
NodeID-A68KFvmn6kR4q5XAvEyHseFaKZWEr4hVY,30876.06343594501
NodeID-6u8G2WE6Kb3K6d1fXWmFQyDBoL4dGnCN,30780.044718268997
NodeID-DEAQLJUAQnGcDYAejsL4aestnx6EcGMDC,30736.327340880995
NodeID-NkYLNRp4S6exbWamVvMzUUpXvHeVEzLR6,30482.983087341992
NodeID-84XTAh1VM9QmfdewNnqFVhz2kbjrFvK4Y,30317.84360681593
NodeID-6hAyZe6HS7qKuSuZthSCXeRAMyMPhkouU,29017.704528834933
NodeID-FzoZsxHsZ9fvQweVLYCRkrxhNA9871va5,28915.768337635996
NodeID-FVtZkETZyHPgX4i3VXKAA7VPsNP9PGdyy,28595.808891456996
NodeID-Dyq3s7DBWZfATo8JyUdMdXyr2SUUV3sTy,28353.492997974
NodeID-DaKj4jkyyCN4B5zVW65krECqpjxYGUFzX,27901.815167909175
NodeID-JpSbAFWbh6BSMHaLBeeVy8GUUyBJfx2HZ,26961.890039852
NodeID-8TArWpFgH3sazEH8qP4gUjtGtFMvjw1aR,26958.682044981007
NodeID-8PKikqQVFgRYLUwwNc2HHodNMyP6Tw6Qy,26919.153498406024
NodeID-5s9gCg2xSYZQEyw6Dp8ShsQom1W8SXnsc,26586.54915281108
NodeID-Lai2VTTYk897ae9uq6cGk9FbhKD1KHvFS,26419.914427860094
NodeID-KJWaiZPLcgCW6iPvKYTE1ekMZ6F9G9NLa,25875.330766432045
NodeID-6yAy6J1h254tcp4fxHXpJYEtn6GUd48o3,25848.741020572015
NodeID-HpEw7munmgQtTNd8PWqp8T4GNU738Jvc2,25558.478658382122
NodeID-5bHjc5xDgTXzCv6mCJQiiXZPei2WaYk7M,25498.446913183994
NodeID-MXNBsr8xSHE9CKfmyzvBYyEzxAbLuHTAn,25292.67775076593
