Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Reward Type,nAVAX,Node,Time
JwUXmdvoLNov6PCUmrHJXkdbVfvDD5hzizTqyiiQVq5GiMCue,P-avax1y98f6q0495uzurafznxymkyreqxr5hrztaez0r,delegator,284014575,NodeID-CkWYaT3ior5qZqwmiReCykFWGJGbhdwUV,2021-01-20T13:18:39Z
JwUXmdvoLNov6PCUmrHJXkdbVfvDD5hzizTqyiiQVq5GiMCue,P-avax1usfsw8nt5kpapvq8jqmzv0asaf6lqp8x8y98ad,delegatee,5796216,NodeID-CkWYaT3ior5qZqwmiReCykFWGJGbhdwUV,2021-01-20T13:18:39Z
# block,279719,,,,
2X4oZgiG6aYMZQXzX131917wrw68CFbfmja7zF1VyWC9LPhGoJ,P-avax1fyjskkcc627xcu2jjdu95ts8e6u2auwx2psn4k,staking,9227250325381,NodeID-32aVnE9HYv1FesKKbvvUh1ZvFU3ARNtR2,2021-01-20T14:34:39Z
# block,279739,,,,
yPnTQc2hhankTfjbFowGDCsiat5rBNLMTgUkQyM9of6xfwEAP,P-avax19wp80wpleh3v23hwe4phwv8zsxneh8q59zsv6y,delegator,739689134,NodeID-LGT3DqyATVKUHPEXvpv3b9284ejHYLLq8,2021-01-20T15:19:12Z
yPnTQc2hhankTfjbFowGDCsiat5rBNLMTgUkQyM9of6xfwEAP,P-avax1ncnn7hlcux5vluclvuy4z9ryg4c0hczvtdxt97,delegatee,15095697,NodeID-LGT3DqyATVKUHPEXvpv3b9284ejHYLLq8,2021-01-20T15:19:12Z
# block,279791,,,,
28UPNJamNSc1753L3VAPZtSz922cduhC5arrvJLpwxCuUVQo7n,P-avax1tlxqaz9trn6ceuuffcavmzhym53g4hpe87zszq,delegator,65803073840,NodeID-8c8MX2Y8zmgAMr64vm8LMZoxQhFq7bSHk,2021-01-20T17:05:15Z
28UPNJamNSc1753L3VAPZtSz922cduhC5arrvJLpwxCuUVQo7n,P-avax1zu2l0vvr9smqpzdf6tacepalj5lue79ktnxk0p,delegatee,1342919875,NodeID-8c8MX2Y8zmgAMr64vm8LMZoxQhFq7bSHk,2021-01-20T17:05:15Z
# block,279817,,,,
vpYsFQVmqDxVQiqwuewj4E18Dk6nQuQVLGf8iySy6qMug67hx,P-avax1jultkltj8tt6esacfyxqcf7htqgv0thwzphhu9,delegator,20447630469,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T17:41:36Z
vpYsFQVmqDxVQiqwuewj4E18Dk6nQuQVLGf8iySy6qMug67hx,P-avax15ma9j6x7jg2maaz4sjcj65yrppegt0adghgwjy,delegatee,417298581,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T17:41:36Z
# block,279830,,,,
2KHtTQRbX5efiESpaHvupqvthLv3MNzfTJAaquapG4SUcpvtf1,P-avax12gpwkwusye2pwxqg0ldgxrq0sqjuprtjv8682m,staking,38566787211,NodeID-LUdyZkHtWypdKcWDc1r9WokJs12YEZ7xg,2021-01-20T18:00:28Z
# block,279840,,,,
ykh97ChXgzgYcQfR8sLx15FoBmYjQmA9Vw91s3URdwb5TT4bV,P-avax17yxwyag7sk02fsfvejglc53mceyyhq6t6r36uw,delegator,47665579923,NodeID-P9TzSYxJohyCH6TLM5Jh7owVFJihowCsU,2021-01-20T18:25:16Z
ykh97ChXgzgYcQfR8sLx15FoBmYjQmA9Vw91s3URdwb5TT4bV,P-avax1zyqpe2qnaqh0mrwrzsuvp3x9myzvn2aqp8utsa,delegatee,972766938,NodeID-P9TzSYxJohyCH6TLM5Jh7owVFJihowCsU,2021-01-20T18:25:16Z
# block,279858,,,,
fFYREwKHLCC64S4o5n4tWS1gvRFvWvD4yVWEC8fqAL7w8afSy,P-avax1ymsmz8epq0xjn4y26u2xfcfl8k8lvj46js00ua,delegator,1782849184,NodeID-7h9SJfcSzgSJReKTxCFmVxqy4Z6HF22q8,2021-01-20T18:39:54Z
fFYREwKHLCC64S4o5n4tWS1gvRFvWvD4yVWEC8fqAL7w8afSy,P-avax1p0p8yyp9zaf858j5xyrqua0xqxnhcjnqm94clk,delegatee,55139666,NodeID-7h9SJfcSzgSJReKTxCFmVxqy4Z6HF22q8,2021-01-20T18:39:54Z
# block,279868,,,,
yeq2o4RHe5VoU453wmnN8gkM3VL8AyqgqzfpdBwykC4DJuoLk,P-avax1xlc3ezzc6lfpgaw27a76zjfmg6y264ltw6kkv5,delegator,2630374837,NodeID-WAHX8MXekynX6xZSFiSewY9Qxnhq5HZh,2021-01-20T18:57:04Z
yeq2o4RHe5VoU453wmnN8gkM3VL8AyqgqzfpdBwykC4DJuoLk,P-avax1ygsm6v9a7649yzegnjtd247933sh2e8sdal6ua,delegatee,154564112,NodeID-WAHX8MXekynX6xZSFiSewY9Qxnhq5HZh,2021-01-20T18:57:04Z
# block,279872,,,,
27KjPponfz7TebmPorCtnPDznbafZiZ888458jK2dy4e8NMubj,P-avax1qvrzkax67g9hmcasjzsf3299363nrvmsemn7sn,delegator,15220468580,NodeID-HpMSfYT2ox1vkr1hFNMwmdWuq8QWhvH2u,2021-01-20T18:59:19Z
27KjPponfz7TebmPorCtnPDznbafZiZ888458jK2dy4e8NMubj,P-avax1y8fmzkfhdc2f68vz8lfvsmx0dfv52ckhlp7n06,delegatee,310621808,NodeID-HpMSfYT2ox1vkr1hFNMwmdWuq8QWhvH2u,2021-01-20T18:59:19Z
# block,279892,,,,
26hZGqkj1nt1CUggQpJRB2W2PcDrxyojjAWGMkjYzddUhJpN5K,P-avax1uf65mgk7fy6gx8z8yzet40lyyc7ydwrqkkwccf,delegator,4086692081,NodeID-NYNMabJTpEEMMtSjcFtcEcnRyed79zMT8,2021-01-20T19:30:30Z
26hZGqkj1nt1CUggQpJRB2W2PcDrxyojjAWGMkjYzddUhJpN5K,P-avax1gxu3y3h0l2406f37ptttuhy56hfk3wryat0t5d,delegatee,1021673021,NodeID-NYNMabJTpEEMMtSjcFtcEcnRyed79zMT8,2021-01-20T19:30:30Z
# block,279914,,,,
2GGpoJggmNBC2qakaoLb2P8f43y7mvvbdV4PkbaAFQaeToVB4i,P-avax1qz4rl7sr43lxee0hn2c8yn7y3v3hwsrxvsnkkn,delegator,27926567880,NodeID-E2cZYRHSCUKk7wBia3Pmg1gFT6Y8A5Vxo,2021-01-20T19:42:51Z
2GGpoJggmNBC2qakaoLb2P8f43y7mvvbdV4PkbaAFQaeToVB4i,P-avax1atncdejuf9h2x37qs7vmtzzp8ww9vzm7zdg8zd,delegatee,569929957,NodeID-E2cZYRHSCUKk7wBia3Pmg1gFT6Y8A5Vxo,2021-01-20T19:42:51Z
# block,279922,,,,
